사용단어	가중치	사용횟수	단어승률
대중	90	100	0.9
대중교통	98	100	0.98
대중문화	99	100	0.99
대중적	76	100	0.76
대책	97	100	0.97
대출	97	100	0.97
대통령	100	100	1.0
대표	98	100	0.98
대표적	85	100	0.85
대학	82	100	0.82
대학교	95	100	0.95
대학교수	86	100	0.86
대학로	55	100	0.55
대학생	94	100	0.94
대학원	83	100	0.83
대한민국	95	100	0.95
대합실	80	100	0.8
대형	92	100	0.92
대화	99	100	0.99
대회	99	100	0.99
더위	67	100	0.67
덕분	78	100	0.78
덕수궁	100	100	1.0
덩어리	49	100	0.49
데이트	0	100	0.0
도구	90	100	0.9
도덕	92	100	0.92
도둑	100	100	1.0
도로	49	100	0.49
도마	60	100	0.6
도망	100	100	1.0
도서관	74	100	0.74
도시	79	100	0.79
도시락	100	100	1.0
도심	81	100	0.81
도움	92	100	0.92
도움말	65	100	0.65
도입	82	100	0.82
도자기	84	100	0.84
도장	72	100	0.72
도전	95	100	0.95
도중	89	100	0.89
도착	100	100	1.0
도쿄	100	100	1.0
독감	96	100	0.96
독립	100	100	1.0
독서	72	100	0.72
독일	97	100	0.97
독일어	56	100	0.56
독창적	85	100	0.85
돌멩이	91	100	0.91
동그라미	78	100	0.78
동기	87	100	0.87
동네	100	100	1.0
동대문	95	100	0.95
동대문시장	78	100	0.78
동료	100	100	1.0
동물	90	100	0.9
동물원	81	100	0.81
동부	92	100	0.92
동생	93	100	0.93
동서	77	100	0.77
동서남북	64	100	0.64
동시	84	100	0.84
동아리	50	100	0.5
동안	78	100	0.78
동양	78	100	0.78
동양인	85	100	0.85
동의	90	100	0.9
동작	77	100	0.77
동전	88	100	0.88
동쪽	100	100	1.0
동창	89	100	0.89
동포	94	100	0.94
동행	100	100	1.0
동화	97	100	0.97
동화책	97	100	0.97
돼지	86	100	0.86
돼지고기	82	100	0.82
된장	77	100	0.77
된장찌개	96	100	0.96
두께	100	100	1.0
두뇌	100	100	1.0
두려움	94	100	0.94
두부	88	100	0.88
두통	99	100	0.99
둥지	92	100	0.92
뒤쪽	100	100	1.0
뒤편	100	100	1.0
뒷골목	63	100	0.63
뒷모습	100	100	1.0
뒷문	93	100	0.93
뒷산	92	100	0.92
드라마	62	100	0.62
등록	100	100	1.0
등록금	88	100	0.88
등록증	97	100	0.97
등산	94	100	0.94
등산로	53	100	0.53
등장	77	100	0.77
디스크	72	100	0.72
디자이너	100	100	1.0
디자인	84	100	0.84
따님	100	100	1.0
딸기	80	100	0.8
딸아이	87	100	0.87
땅바닥	100	100	1.0
땅속	100	100	1.0
땅콩	100	100	1.0
떡국	92	100	0.92
떡볶이	91	100	0.91
뚜껑	100	100	1.0
뜻밖	100	100	1.0
라디오	68	100	0.68
라면	95	100	0.95
라운드	100	100	1.0
라이벌	100	100	1.0
라이터	0	100	0.0
라인	81	100	0.81
라켓	100	100	1.0
러시아	51	100	0.51
런던	100	100	1.0
레몬	100	100	1.0
레스토랑	100	100	1.0
레이저	66	100	0.66
레저	65	100	0.65
렌즈	100	100	1.0
로봇	100	100	1.0
로터리	51	100	0.51
리그	61	100	0.61
리듬	100	100	1.0
마누라	81	100	0.81
마늘	100	100	1.0
마당	100	100	1.0
마디	92	100	0.92
마라톤	100	100	1.0
마련	100	100	1.0
마루	100	100	1.0
마무리	44	100	0.44
마사지	92	100	0.92
마약	85	100	0.85
마요네즈	100	100	1.0
마을	100	100	1.0
마음	80	100	0.8
마음가짐	100	100	1.0
마음속	99	100	0.99
마음씨	0	100	0.0
마이크	74	100	0.74
마중	85	100	0.85
마지막	100	100	1.0
마찬가지	92	100	0.92
마찰	100	100	1.0
마크	74	100	0.74
막걸리	48	100	0.48
막내	75	100	0.75
만남	84	100	0.84
만두	61	100	0.61
만세	98	100	0.98
만약	90	100	0.9
만일	92	100	0.92
만점	72	100	0.72
만족	100	100	1.0
만화	100	100	1.0
만화가	76	100	0.76
말기	86	100	0.86
말씀	100	100	1.0
말투	98	100	0.98
망원경	72	100	0.72
맞은편	100	100	1.0
매너	100	100	1.0
매력	100	100	1.0
매스컴	100	100	1.0
매일	94	100	0.94
매장	75	100	0.75
매체	64	100	0.64
맥주	98	100	0.98
머리	37	100	0.37
머리말	55	100	0.55
머리카락	100	100	1.0
머리칼	100	100	1.0
머릿속	98	100	0.98
먹이	84	100	0.84
먼지	87	100	0.87
메뉴	96	100	0.96
메모	78	100	0.78
메시지	92	100	0.92
메일	95	100	0.95
며느리	43	100	0.43
며칠	91	100	0.91
면담	95	100	0.95
면적	75	100	0.75
면접	68	100	0.68
멸치	77	100	0.77
명단	89	100	0.89
명령	100	100	1.0
명령어	59	100	0.59
명예	97	100	0.97
명의	95	100	0.95
명절	95	100	0.95
명칭	96	100	0.96
명함	100	100	1.0
모기	81	100	0.81
모니터	0	100	0.0
모델	100	100	1.0
모두	59	100	0.59
모래	100	100	1.0
모레	59	100	0.59
모범	94	100	0.94
모습	100	100	1.0
모양	75	100	0.75
모임	100	100	1.0
모자	88	100	0.88
모집	100	100	1.0
모퉁이	90	100	0.9
목걸이	88	100	0.88
목록	100	100	1.0
목사	78	100	0.78
목소리	53	100	0.53
목숨	100	100	1.0
목요일	94	100	0.94
목욕	100	100	1.0
목욕탕	100	100	1.0
목적	69	100	0.69
목표	94	100	0.94
몸매	66	100	0.66
몸무게	92	100	0.92
몸살	48	100	0.48
몸속	98	100	0.98
몸짓	100	100	1.0
몸통	99	100	0.99
묘사	79	100	0.79
무게	88	100	0.88
무관심	88	100	0.88
무궁화	99	100	0.99
무기	87	100	0.87
무늬	100	100	1.0
무대	89	100	0.89
무더위	82	100	0.82
무덤	100	100	1.0
무료	100	100	1.0
무릎	100	100	1.0
무리	47	100	0.47
무역	100	100	1.0
무용	79	100	0.79
무용가	75	100	0.75
무지개	97	100	0.97
문구	92	100	0.92
문밖	100	100	1.0
문법	57	100	0.57
문서	84	100	0.84
문자	78	100	0.78
문장	77	100	0.77
문제	100	100	1.0
문제점	82	100	0.82
문학	81	100	0.81
문학적	83	100	0.83
문화	98	100	0.98
문화재	83	100	0.83
문화적	77	100	0.77
물가	83	100	0.83
물건	93	100	0.93
물결	86	100	0.86
물고기	77	100	0.77
물기	87	100	0.87
물론	100	100	1.0
물리학	74	100	0.74
물속	95	100	0.95
물음	90	100	0.9
물질	98	100	0.98
물질적	87	100	0.87
물체	82	100	0.82
미국	95	100	0.95
미니	100	100	1.0
미디어	60	100	0.6
미래	100	100	1.0
미만	85	100	0.85
미사일	95	100	0.95
미소	92	100	0.92
미술	92	100	0.92
미술관	75	100	0.75
미스	87	100	0.87
미역	100	100	1.0
미용실	73	100	0.73
미움	95	100	0.95
미인	84	100	0.84
미팅	100	100	1.0
미혼	100	100	1.0
민간	79	100	0.79
민속	97	100	0.97
민족	100	100	1.0
민주	97	100	0.97
민주주의	96	100	0.96
민주화	98	100	0.98
믿음	85	100	0.85
밀가루	100	100	1.0
밑바닥	100	100	1.0
바가지	87	100	0.87
바구니	100	100	1.0
바깥	100	100	1.0
바깥쪽	100	100	1.0
바나나	78	100	0.78
바늘	100	100	1.0
바다	86	100	0.86
바닥	100	100	1.0
바닷가	78	100	0.78
바닷물	95	100	0.95
바람	100	100	1.0
바보	88	100	0.88
바위	74	100	0.74
바이러스	89	100	0.89
바이올린	100	100	1.0
바지	91	100	0.91
바퀴	100	100	1.0
바탕	100	100	1.0
박물관	67	100	0.67
박사	81	100	0.81
박수	92	100	0.92
박스	84	100	0.84
반대	89	100	0.89
반대편	98	100	0.98
반말	50	100	0.5
반면	96	100	0.96
반발	69	100	0.69
반성	72	100	0.72
반응	100	100	1.0
반장	73	100	0.73
반죽	100	100	1.0
반지	90	100	0.9
반찬	100	100	1.0
받침	65	100	0.65
발가락	100	100	1.0
발걸음	75	100	0.75
발견	100	100	1.0
발길	100	100	1.0
발끝	100	100	1.0
발달	48	100	0.48
발등	78	100	0.78
발레	50	100	0.5
발목	74	100	0.74
발바닥	100	100	1.0
발생	95	100	0.95
발음	79	100	0.79
발자국	98	100	0.98
발전	94	100	0.94
발톱	100	100	1.0
발표	93	100	0.93
밤낮	100	100	1.0
밤새	56	100	0.56
밤색	51	100	0.51
밤중	90	100	0.9
밤하늘	100	100	1.0
밥그릇	100	100	1.0
밥맛	100	100	1.0
밥상	86	100	0.86
밥솥	100	100	1.0
방면	97	100	0.97
방문	91	100	0.91
방바닥	100	100	1.0
방법	39	100	0.39
방송	100	100	1.0
방송국	96	100	0.96
방송사	85	100	0.85
방식	81	100	0.81
방안	83	100	0.83
방울	100	100	1.0
방지	86	100	0.86
방학	84	100	0.84
방해	95	100	0.95
방향	100	100	1.0
배경	63	100	0.63
배구	86	100	0.86
배꼽	100	100	1.0
배달	46	100	0.46
배드민턴	100	100	1.0
배우	85	100	0.85
배우자	87	100	0.87
배추	62	100	0.62
배추김치	83	100	0.83
배치	75	100	0.75
백두산	90	100	0.9
백색	50	100	0.5
백성	74	100	0.74
백인	86	100	0.86
백제	100	100	1.0
백화점	76	100	0.76
뱃사람	100	100	1.0
버릇	100	100	1.0
버섯	100	100	1.0
버스	82	100	0.82
버터	0	100	0.0
버튼	100	100	1.0
번개	100	100	1.0
번역	100	100	1.0
번지	94	100	0.94
번호	79	100	0.79
벌금	86	100	0.86
벌레	55	100	0.55
범위	82	100	0.82
범인	83	100	0.83
범죄	100	100	1.0
법률	100	100	1.0
